id	name	expression_neuroexclusivity
1	ENSP00000261837	0.5348190748598091
2	ENSP00000297323	0.9078772842982705
3	ENSP00000342952	0.7848412441555401
4	ENSP00000260600	0.32513981412936627
5	ENSP00000419361	0.3918755248849251
6	ENSP00000311405	0.36498377108854135
7	ENSP00000378187	0.2663444597632942
8	ENSP00000286355	0.9500634604303004
9	ENSP00000294016	0.24820384809813445
10	ENSP00000355155	0.8869697513620034
11	ENSP00000234389	0.293911600033762
12	ENSP00000382434	0.009619933764390472
13	ENSP00000312262	0.3015314628398535
14	ENSP00000317578	0.539269229408992
15	ENSP00000382428	0.8495117858341382
16	ENSP00000312126	0.10277186229067362
17	ENSP00000469689	0.7948508962206822
18	ENSP00000338185	0.5956075898510683
19	ENSP00000316909	0.9529823873860069
20	ENSP00000380442	0.011823850896860989
21	ENSP00000310447	0.709129881019653
22	ENSP00000317379	0.3951393373515692
23	ENSP00000307900	0.34811214315694555
24	ENSP00000343027	0.6179582872731735
25	ENSP00000312999	0.26172397357572696
26	ENSP00000358867	0.28113438805313307
27	ENSP00000262494	0.9081443023851157
28	ENSP00000286548	0.6060330420375141
29	ENSP00000360141	0.47269176348455605
30	ENSP00000481878	0.5123006075324785
31	ENSP00000305260	0.31497517884707116
32	ENSP00000229264	0.6704168455232056
33	ENSP00000294117	0.9015167405102135
34	ENSP00000375727	0.9124269510789835
35	ENSP00000359675	0.2608238591571688
36	ENSP00000371594	0.7457003419852288
37	ENSP00000363411	0.4791130670675465
38	ENSP00000248564	0.15381506577156545
39	ENSP00000248572	0.6379233511586453
40	ENSP00000426022	0.13939562644846384
41	ENSP00000290472	0.021838675589996474
42	ENSP00000428994	0.9649756931688038
43	ENSP00000296526	0.9430554193797972
44	ENSP00000481554	0.9241084759656242
45	ENSP00000282499	0.9757039343857797
46	ENSP00000382791	0.9358905463806186
47	ENSP00000397026	0.9624543055086126
48	ENSP00000362183	0.9385631775984433
49	ENSP00000435648	0.8251824311418269
50	ENSP00000262895	0.7753608184616633
51	ENSP00000360608	0.9891991345191552
52	ENSP00000379818	0.8990131849437246
53	ENSP00000477455	0.9972629063914202
54	ENSP00000293190	0.8362995164734001
55	ENSP00000263269	0.8866572372180008
56	ENSP00000354896	0.9744852378520663
57	ENSP00000378492	0.8838318983257378
58	ENSP00000355316	0.9924346530891485
59	ENSP00000440556	0.9952877816100446
60	ENSP00000306138	0.9886951799362708
61	ENSP00000231188	0.6636520813938024
62	ENSP00000350348	0.8219693484382561
63	ENSP00000344173	0.9196371906422429
64	ENSP00000306253	0.337655648998006
65	ENSP00000370744	0.3044030307043979
66	ENSP00000363435	0.12195741811784133
67	ENSP00000295101	0.7806563290461399
68	ENSP00000293441	0.9797603510727483
69	ENSP00000248150	0.7539810940870647
70	ENSP00000356436	0.12710067755604
71	ENSP00000260402	0.17787407318658136
72	ENSP00000443631	0.15803422192010844
73	ENSP00000367762	0.4507473796445251
74	ENSP00000342793	0.11224856014925393
75	ENSP00000263088	0.2481286890692122
76	ENSP00000334448	0.8518734950010755
77	ENSP00000378323	0.6704545099085033
78	ENSP00000378306	0.5244810123776508
79	ENSP00000380878	0.34030504694907676
80	ENSP00000234310	0.5916855323468678
81	ENSP00000363939	0.03785194853626703
82	ENSP00000309591	0.301662120578161
83	ENSP00000359719	0.6870364735711845
84	ENSP00000366488	0.057279236276849645
85	ENSP00000408695	0.5737986059196521
86	ENSP00000305355	0.626961024499374
87	ENSP00000263431	0.9220058303678281
88	ENSP00000215832	0.4473533127256113
89	ENSP00000263025	0.37263688408726575
90	ENSP00000360021	0.14444436297807806
91	ENSP00000221485	0.8796297038326205
92	ENSP00000263160	0.9994509217566082
93	ENSP00000232564	0.5310465390538505
94	ENSP00000419313	0.4871364656695552
95	ENSP00000353362	0.9660926262921744
96	ENSP00000266376	0.3477842642803247
97	ENSP00000288139	0.6069882607243513
98	ENSP00000472546	0.4170907327084692
99	ENSP00000316377	0.9339470483481406
100	ENSP00000300873	0.859629505463063
101	ENSP00000439937	0.4644365188650371
102	ENSP00000305632	0.2901653139453184
103	ENSP00000334382	0.6811475518078332
104	ENSP00000263826	0.6926216546595247
105	ENSP00000342136	0.3632473965931623
106	ENSP00000306490	0.8327854425301617
107	ENSP00000399745	0.3210202703347248
108	ENSP00000255380	0.5794119389287418
109	ENSP00000409378	0.6597440735658152
110	ENSP00000372750	0.876369587988333
111	ENSP00000315602	0.5010056346585778
112	ENSP00000359285	0.915294044839429
113	ENSP00000357461	0.9633444839758678
114	ENSP00000261751	0.6706129744551985
115	ENSP00000387699	0.47877242802461883
116	ENSP00000480157	0.10669624301792245
117	ENSP00000357596	0.31635240663833375
118	ENSP00000451828	0.3412670611653156
119	ENSP00000375892	0.35864946503015976
120	ENSP00000306245	0.10705122220914585
121	ENSP00000392812	0.0782408868858596
122	ENSP00000346671	0.5773296986580884
123	ENSP00000078429	0.35539191537850834
124	ENSP00000407586	0.4514955310370865
125	ENSP00000371067	0.23836945950452343
126	ENSP00000243457	0.3440642538674656
127	ENSP00000306497	0.9301747835985474
128	ENSP00000477437	1
129	ENSP00000463778	0.6201443939292719
130	ENSP00000375756	0.5359858706753233
131	ENSP00000155840	0.03701203367894846
132	ENSP00000352035	0.93913805524667
133	ENSP00000373648	0.9345015764640495
134	ENSP00000256078	0.45814721207937165
135	ENSP00000336790	0.2894310821145334
136	ENSP00000358548	0.44332122231691556
137	ENSP00000263967	0.4801933107741332
138	ENSP00000289153	0.3887453179400677
139	ENSP00000366563	0.1747112272934991
140	ENSP00000352121	0.04245299179906624
141	ENSP00000428056	0.37156729882343426
142	ENSP00000222254	0.8257208060681368
143	ENSP00000302486	0.39494015220831297
144	ENSP00000345055	0.7696545909025035
145	ENSP00000381185	0.3859863987252302
146	ENSP00000329140	0.1337361058865972
147	ENSP00000363229	0.8854801553689627
148	ENSP00000360423	0.9361539497427664
149	ENSP00000365441	0.5248903058808675
150	ENSP00000355192	0.034613131689653354
151	ENSP00000282356	0.8529308496026473
152	ENSP00000381412	0.9691745332105921
153	ENSP00000379098	0.8037074276475097
154	ENSP00000339740	0.438311491374524
155	ENSP00000319060	0.4667583125664734
156	ENSP00000078445	0.013734267794336308
157	ENSP00000262741	0.5634399862173897
158	ENSP00000276410	0.7128923770717592
159	ENSP00000481956	0.08572076051558764
160	ENSP00000262916	0.24235612538090334
161	ENSP00000350359	0.6090677133963228
162	ENSP00000395708	0.27742034641712743
163	ENSP00000329093	0.8182226211849192
164	ENSP00000360372	0.05119453924914678
165	ENSP00000360317	0.13134649530771172
166	ENSP00000260682	0.0046689161540473985
167	ENSP00000353820	0.3639039091500217
168	ENSP00000360247	0.3770590107832363
169	ENSP00000403644	0.1092114852672591
170	ENSP00000322617	0.6694560669456066
171	ENSP00000239223	0.08443465645781362
172	ENSP00000371929	1
173	ENSP00000251535	0.15187368336848112
174	ENSP00000363512	0.10121283632458536
175	ENSP00000315167	0.03645152662117112
176	ENSP00000458832	0.16659701243029604
177	ENSP00000369530	0.02563139784681485
178	ENSP00000295454	0.9509957214994528
179	ENSP00000274547	0.9450157310360019
180	ENSP00000308725	0.9319077195900626
181	ENSP00000406050	0.8379888268156426
182	ENSP00000316244	0.9704419820548115
183	ENSP00000358963	0.32215248982565436
184	ENSP00000363748	0.43103938784907697
185	ENSP00000307766	0.8536057491361646
186	ENSP00000322924	0.3065779169929523
187	ENSP00000437737	0.8076918639153767
188	ENSP00000258400	0.13285513705081176
189	ENSP00000276198	0.9726629942968466
190	ENSP00000347754	0.23691123187129304
191	ENSP00000353915	0.5279837185637447
192	ENSP00000287907	0.9738886882303887
193	ENSP00000289753	0.9135023991012935
194	ENSP00000337949	0.47509958133203417
195	ENSP00000284981	0.5025285473049785
196	ENSP00000290277	0.1785479516167958
197	ENSP00000333496	0.9184375354602522
198	ENSP00000433295	0.2422493952004233
199	ENSP00000357067	0.9219976836511476
200	ENSP00000427120	0.7028451700360795
201	ENSP00000340684	0.0930629989470801
202	ENSP00000367309	0.25377202241253005
203	ENSP00000354612	0.08099832921608825
204	ENSP00000356438	0.012886677252233514
205	ENSP00000251849	0.3293324395529064
206	ENSP00000387549	0.3246080656576201
207	ENSP00000298472	0.33407572388036694
208	ENSP00000288602	0.48643529147112025
209	ENSP00000250018	0.19981388347316276
210	ENSP00000311032	0.4354715866638972
211	ENSP00000260191	0.8431911966987623
212	ENSP00000417901	0.6343922243952335
213	ENSP00000306866	0.31884005753168726
214	ENSP00000037243	0.496656879156399
215	ENSP00000217420	0.9854783209410563
216	ENSP00000379845	0.773761064822046
217	ENSP00000266458	0.4769377369201637
218	ENSP00000366233	0.686914751211838
219	ENSP00000393097	0.9783979778667576
220	ENSP00000421828	0.9309141483022958
221	ENSP00000359337	0.9808608637783558
222	ENSP00000264318	0.7941050784770939
223	ENSP00000335592	0.9719074154887036
224	ENSP00000274545	0.9983045657530502
225	ENSP00000367848	0.9615860475403394
226	ENSP00000359353	0.07993522234588195
227	ENSP00000295452	0.9696200586549619
228	ENSP00000410732	0.9867983493129316
229	ENSP00000479113	0.9129906300089388
230	ENSP00000430100	0.05134378774909118
231	ENSP00000350928	0.9739419411253103
232	ENSP00000365437	0.976156805896777
233	ENSP00000381293	0.6658457078929428
234	ENSP00000469332	0.81459347209731
235	ENSP00000328875	0.3661016403240265
236	ENSP00000362680	0.3803899783819051
237	ENSP00000334002	0.723823850698556
